abs_delta,delta,head,layer
0.02239704579014362,0.02239704579014362,6,35
0.02192366187406325,0.02192366187406325,21,31
0.020946376047940862,0.020946376047940862,22,32
0.0207131201293983,-0.0207131201293983,17,31
0.02006206224870538,0.02006206224870538,19,25
0.020054270408319363,0.020054270408319363,6,15
0.020009409849563675,-0.020009409849563675,0,27
0.019780791638782103,0.019780791638782103,22,38
0.01937791828302393,-0.01937791828302393,18,25
0.019055288692953143,0.019055288692953143,0,37
0.01880958190064641,0.01880958190064641,4,19
0.01797191986136515,0.01797191986136515,6,23
0.01783132399514059,-0.01783132399514059,23,33
0.017500414691344002,0.017500414691344002,30,18
0.017098946864202325,0.017098946864202325,8,9
0.017015522833197516,0.017015522833197516,16,25
0.016962178775414782,-0.016962178775414782,25,16
0.01680623006678189,0.01680623006678189,24,31
0.016778175289779818,0.016778175289779818,0,24
0.01656162510772352,0.01656162510772352,0,17
0.016458409828144116,0.016458409828144116,31,37
0.016131003682631095,0.016131003682631095,20,31
0.015754065818040397,0.015754065818040397,20,24
0.015300342648307874,0.015300342648307874,21,20
0.015252274976935876,0.015252274976935876,20,20
