abs_delta,delta,head,layer
0.0016200747286140918,0.0016200747286140918,0,0
0.001480589188390516,-0.001480589188390516,4,0
0.000360138856256546,-0.000360138856256546,7,0
0.0002517868697894778,-0.0002517868697894778,9,0
0.000176864703923079,-0.000176864703923079,11,0
4.622083180640579e-05,4.622083180640579e-05,5,0
2.8403072676654387e-05,-2.8403072676654387e-05,2,0
2.243199200295469e-06,-2.243199200295469e-06,6,0
1.954410847701802e-06,1.954410847701802e-06,10,0
1.0885735512877357e-06,1.0885735512877357e-06,8,0
nan,nan,1,19
nan,nan,2,19
nan,nan,0,19
nan,nan,11,18
nan,nan,10,18
nan,nan,9,18
nan,nan,8,18
nan,nan,7,18
nan,nan,2,18
nan,nan,5,18
nan,nan,4,18
nan,nan,3,18
nan,nan,3,19
nan,nan,1,18
nan,nan,0,18
